case_id,race_ethnicity,sex,age_band,primary_language,county_type,program,outcome_status,decision_date
2030,Two or more races,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2031,Two or more races,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2032,White,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2033,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2034,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2035,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2036,White,Male,Under 18,English,Rural,Benefits Eligibility,Denied,2026-03-15
2037,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2038,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2039,Black,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2040,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2041,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2042,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2043,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2044,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2045,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2046,Asian,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2047,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2048,Hispanic,Male,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2049,Hispanic,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2050,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2051,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2052,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2053,Asian,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2054,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2055,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2056,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2057,Black,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2058,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2059,Asian,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2060,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2061,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2062,White,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2063,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2064,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2065,White,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2066,White,Female,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2067,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2068,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2069,Hispanic,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2070,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2071,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2072,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2073,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2074,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2075,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2076,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2077,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2078,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2079,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2080,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2081,American Indian or Alaska Native,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2082,Asian,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2083,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2084,Black,Female,65 and over,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2085,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2086,Black,Male,Under 18,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2087,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2088,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2089,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2090,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2091,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2092,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2093,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2094,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2095,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2096,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2097,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2098,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2099,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2100,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2101,Two or more races,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2102,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2103,Asian,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2104,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2105,Hispanic,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2106,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2107,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2108,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2109,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2110,Hispanic,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2111,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2112,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2113,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2114,White,Female,Under 18,Other than English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2115,Two or more races,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2116,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2117,White,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2118,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2119,White,Female,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2120,American Indian or Alaska Native,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2121,Black,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2122,White,Male,18 to 64,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2123,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2124,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2125,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2126,Asian,Female,65 and over,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2127,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2128,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2129,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2130,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2131,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2132,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2133,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2134,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2135,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2136,Hispanic,Female,Under 18,English,Rural,Benefits Eligibility,Denied,2026-03-15
2137,Black,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2138,Black,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2139,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2140,Hispanic,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2141,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2142,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2143,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2144,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2145,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2146,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2147,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2148,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2149,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2150,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2151,Hispanic,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2152,Two or more races,Female,65 and over,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2153,Two or more races,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2154,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2155,White,Female,Under 18,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2156,White,Female,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2157,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2158,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2159,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2160,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2161,White,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2162,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2163,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2164,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2165,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2166,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2167,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2168,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2169,Asian,Female,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2170,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2171,Asian,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2172,Black,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2173,White,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2174,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2175,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2176,Asian,Female,65 and over,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2177,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2178,White,Male,65 and over,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2179,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2180,White,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2181,Hispanic,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2182,Asian,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2183,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2184,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2185,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2186,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2187,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2188,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2189,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2190,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2191,Hispanic,Male,Under 18,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2192,Asian,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2193,White,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2194,Asian,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2195,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2196,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2197,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2198,Black,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2199,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2200,Black,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2201,White,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2202,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2203,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2204,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2205,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2206,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2207,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2208,Black,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2209,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2210,White,Male,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2211,Hispanic,Male,65 and over,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2212,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2213,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2214,White,Male,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2215,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2216,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2217,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2218,Hispanic,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2219,White,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2220,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2221,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2222,Asian,Female,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2223,White,Female,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2224,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2225,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2226,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2227,Black,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2228,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2229,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2230,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2231,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2232,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2233,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2234,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2235,Black,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2236,White,Female,Under 18,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2237,White,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2238,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2239,Asian,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2240,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2241,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2242,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2243,American Indian or Alaska Native,Female,65 and over,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2244,White,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2245,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2246,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2247,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2248,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2249,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2250,Hispanic,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2251,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2252,Hispanic,Male,65 and over,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2253,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2254,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2255,American Indian or Alaska Native,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2256,Two or more races,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2257,Hispanic,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2258,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2259,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2260,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2261,Asian,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2262,White,Male,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2263,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2264,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2265,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2266,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2267,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2268,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2269,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2270,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2271,Two or more races,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2272,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2273,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2274,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2275,Black,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2276,Asian,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2277,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2278,White,Male,18 to 64,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2279,White,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2280,White,Male,65 and over,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2281,Black,Female,18 to 64,Other than English,Rural,Benefits Eligibility,Denied,2026-03-15
2282,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2283,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2284,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2285,Asian,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2286,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2287,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2288,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2289,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2290,Asian,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2291,American Indian or Alaska Native,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2292,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2293,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2294,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2295,Black,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2296,White,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2297,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2298,Black,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2299,Asian,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2300,Asian,Male,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2301,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2302,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2303,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2304,Hispanic,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2305,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2306,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2307,Black,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2308,Asian,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2309,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2310,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2311,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2312,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2313,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2314,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2315,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2316,Black,Male,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2317,Asian,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2318,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2319,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2320,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2321,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2322,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2323,Black,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2324,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2325,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2326,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2327,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
